importance_estimate_type,n,mean,median,sd
fin_losses_estimate,35,2.6285714285714286,3,1.1653253594071105
infrastructure_damage_estimate,35,2.742857142857143,3,1.2448212048052416
injury_estimate,35,3.342857142857143,4,1.2112914144648688
material_losses_estimate,35,4.171428571428572,4,0.8219673059804997
pollution_estimate,35,4.457142857142857,5,0.9185300642829263
